Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,9.663336530269016,76.81234312818052,-1.039695746948912,0.004178074132240403,0,9.277188200408133e-19,21.66465102,4168693.035,137.012461046,1532.13364548,137.0124610464678,0,0,-1.824623436733737,-4.436942468472541e-18,19.60910936469819,-19.72038668342911,0,-1.824623436733733,-1.82462343673373,0,-12.4753413130309,137.0124610464678,0,0,3.042287778286918e-14,1525.995115695818,137.0124610464678,3.042287778286918e-14,0,137.0124610464678,137.0124610464678,0,-3.042287778286918e-14, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,1000,1000.0000000004,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20926646.32546,0,0,20926646.32546,0,0,0,1000.0000000004,0,0.003,19.6969697,19.6969697,0.964037442,3.14159265,0,180.013259,3.14159265,3.13859265,0,1,0.523,0,0,0,0.348,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-100,-0.414937759,-0.0456431535,-0.0456431535,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,0,0,-0,0,130,130,6.59275397929555969e-07,-9.64532971238273226e-07,20926646.5815419964,0.00417807413224040303
0.1,1.045158623134487,5.979520810902094,-0.1047522599285709,11.47695175655869,40.74563416026903,-1.024200773838065,1.04933663824841,5.979521170871948,-0.1047300555878271,21.61004276,4163439.18,136.839503357,1532.11828583,136.8205113142352,0.0131493799512172,2.279734560904282,-2.101026771639761,0.3094784756513553,25.37151558872435,-11.21388161084703,0.008610725494993624,-1.804103630056318,-1.692548444755061,-0.008441422592913457,-20.99113834635946,136.8205113142352,0.0131493799512172,2.279734560904282,-1.563699202424091,1525.99520228738,136.8306953891667,-1.552571469972807,0.0001041345654426002,136.8306953891667,136.830696411819,0.0001041345653462176,1.552481339315627, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.91524308175,999.91524307979,0.04636432953560515,0.3045410209977437,359.9953099785259,0.9999963857914458,0.0004047124341344975,0.002657601854014083,-4.200329648840146e-05,0.7089832015812239,0.0003158756378942457,-0.7052252507668783,0.0002564741948398488,0.7089832006413916,0.0003184469297068885,-0.70522524961049,0.0002590591883576376,0.95458701025232,0.0055057491228624,3.7488206790758e-05,3.7740846285462e-05,-3.5568642861599e-12,20926646.24014219,152.5995096510342,13.69215059774765,20926646.24069858,-1.299105122143374e-06,13.69215059774765,0.00041780741322404,999.91524307979,0,6.28610345,19.6969697,19.6969697,0.964040415,3.14159256,13.691492,180.013254,3.14159256,3.13867442,0,1,0.523,0,-0.000809210206,-0.0259349997,0.348,0,-0.0425298136,-0.106324534,-0.0894252333,0,0,0,-1,0.322438413,0,360.021828,-360.021828,360,-0.0218277344,-0.000380893966,-1.85050166e-05,-0.000827715223,0,0,0,-100,-9.89176155,-1.08810215,0.464379184,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.8488,0,0,-0,-0,0,130,130,3.81436631363767675e-05,-9.64022506576035672e-07,20926646.4983462803,1.04933663824841039
0.2,2.261034604846698,8.750592306540751,-0.2012358870852133,12.71865210075164,14.10256035975359,-0.8670542660526708,2.265211974696911,8.750593904033053,-0.2011591926458019,21.55534372,4158174.227,136.66581638,1532.10665277,136.5841081516708,0.06419507354387112,4.724684760807421,-2.633109711835161,0.7592025951402451,23.17722405009427,-2.466018175721636,0.08495730276477531,-1.868359415196824,-1.322261112479804,-0.02226119911619159,-29.7591117816639,136.5841081516708,0.06419507354387112,4.724684760807421,-2.238978803155391,1525.999066498652,136.647837482312,-2.216723271268662,0.00400375196024531,136.647837482312,136.6478404005763,0.004003751975183975,2.216543370287993, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.71947342157,999.71947342485,0.2053604969889558,1.051951122504829,359.9818626948214,0.9999562431595308,0.001793484887847163,0.009179577897202071,-0.0001747222470994591,0.7135663210367901,0.001391731860785685,-0.7005853683642714,0.001144638958937159,0.7135663126709794,0.001396840609822066,-0.7005853581969758,0.001149842366579807,1.9811719192791,0.026913144868922,7.4926669363074e-05,7.5431613122363e-05,3.8612046554012e-10,20926646.04268986,305.1991600630217,27.36613241693184,20926646.04491541,0.0001410262044032606,27.36613241693184,0.00083561482644808,999.71947342485,0,6.28586875,19.6969697,19.6969697,0.964047282,-3.1415875,27.3648163,-180.012964,-3.1415875,3.13891436,0,1,0.523,0,-0.00358421683,-0.111283374,0.348,0,-0.148902928,-0.37225732,-0.339011159,0,0,0,-1,0.817878577,0,360.008379,-360.008379,360,-0.00837946019,-0.00014622158,-3.0908424e-05,-0.00361512525,0,0,0,-100,-18.4667414,-2.03139335,0.185150016,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.7831,0,-0,-0,-0,0,130,130,7.55725935779931956e-05,-9.6183217043691999e-07,20926646.3066536561,2.26521197469691149
0.3,3.53168558240498,9.324108316058624,-0.2775431559711572,12.40114852506258,-2.484976876190622,-0.6273766643502225,3.535861192874355,9.324112206755901,-0.2773997491198079,21.49245001,4152112.043,136.465846772,1532.10562339,136.2980868783662,0.165707346819324,6.762498766312774,-3.052136504529683,1.308695341034648,17.39693702701862,4.590283191941516,0.2735364361161064,-2.113307457568241,-0.8492942922564863,-0.04258205759518879,-36.83786946895088,136.2980868783662,0.165707346819324,6.762498766312774,-2.113898887971299,1526.015915478091,136.4499848143886,-2.08051514726337,0.02088221625175456,136.4499848143886,136.4499889199145,0.02088221637386221,2.080245870103575, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.49874896929,999.49874897227,0.4894251094500993,1.967485671756882,359.9634457537908,0.9998434130770727,0.004275873777116212,0.01716718820600997,-0.0003922740518047298,0.7191344070728231,0.003300876296136342,-0.6948577319050852,0.002746122979343001,0.7191343769922363,0.003308476769673262,-0.6948576957579632,0.002753988995373814,2.8404299515298,0.069572967631282,0.00011231342793362,0.00011307032752096,3.3627502069049e-09,20926645.81916099,457.7997519128931,41.02122962008808,20926645.8241685,0.001228207089127409,41.02122962008808,0.0012534222396721,999.49874897227,0,6.28554732,19.6969697,19.6969697,0.964055024,-3.14156271,41.0192572,-180.011543,-3.14156271,3.13926059,0,1,0.523,0,-0.0085420796,-0.174,0.348,0,-0.233823284,-0.58455821,-0.578920724,0,0,0,-1,1.44215454,0,359.989961,-359.989961,360,0.0100388375,0.000175177714,-2.88315754e-05,-0.00857091118,0,0,0,-100,-26.2256995,-2.8849584,-0.804712528,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.7237,0,-0,-0,-0,0,130,130,0.000112947349420870576,-9.5555060263838265e-07,20926646.0914048143,3.5358611928743553
0.4,4.702358840823138,8.645820958702673,-0.3283850041814665,10.6792857716205,-10.49286789387026,-0.3709062832001304,4.706531651150477,8.645828328054824,-0.3281754734696327,21.41715519,4144839.384,136.226243251,1532.12602811,135.979924281478,0.3242046011383624,8.181957845509183,-3.282959238350603,1.88292850618116,10.93446020858161,9.324097871704453,0.5841573444379462,-2.522455510763906,-0.436648699838325,-0.06967691458061551,-41.59814045512421,135.979924281478,0.3242046011383624,8.181957845509183,-1.397909060755317,1526.057816118476,136.2195056784989,-1.353395928074844,0.06278991035050285,136.2195056784989,136.2195092365735,0.06278991068373105,1.353037759915878, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.32314860076,999.32314860259,0.8968173819233891,2.875976537943674,359.9439268015815,0.9996542402688386,0.007835941930627503,0.0250903952968351,-0.0006855584873811415,0.72460297482358,0.00602560416919265,-0.6891216560945637,0.005056092631709818,0.7246029010073007,0.006035654477281936,-0.6891215681424786,0.005066660407615239,3.4433548360569,0.13635825547042,0.0001496419348928,0.00015065039774368,1.4107159095001e-08,20926645.63963441,610.40317892978,54.65505090047888,20926645.64853675,0.005152482818061799,54.65505090047888,0.0016712296528962,999.32314860259,0,6.28520665,19.6969697,19.6969697,0.964061183,-3.14149838,54.6524236,-180.007857,-3.14149838,3.13966559,0,1,0.523,0,-0.0156524161,-0.174,0.348,0,-0.254491669,-0.636229172,-0.631360886,0,0,0,-1,2.14816272,0,359.970441,-359.970441,360,0.0295592275,0.000515808519,-1.04744704e-05,-0.0156628906,0,0,0,-100,-33.246291,-3.65731704,-2.30427928,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.6698,0,-0,-0,-0,0,130,130,0.000150263514499960086,-9.39942445044558287e-07,20926645.9219247736,4.70653165115047667
0.5,5.657891271614029,7.469901520136769,-0.3540480722802815,8.13753537131222,-12.39168846948586,-0.1234881481229166,5.662060686475739,7.469913548877059,-0.3537794862142513,21.32840803,4136246.105,135.943540874,1532.17866014,135.6442358191931,0.5387042731581534,8.999855110889936,-3.408860910975438,2.413006715274929,5.443376197785568,11.88720313092419,0.9904867769655958,-3.009078850273147,-0.1678880825171223,-0.1028647777201039,-44.19619402294146,135.6442358191931,0.5387042731581534,8.999855110889936,-0.3205486204827765,1526.135900745836,135.9432098056083,-0.2649037343396525,0.140851140230273,135.9432098056083,135.9432106748259,0.1408511404200934,0.2644572932965197, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.24015112221,999.24015112926,1.411907706583696,3.688924744916761,359.9258494406436,0.9994055524240681,0.01233534688700436,0.03217596301338554,-0.001043266639861977,0.7294371618794059,0.009460095481761256,-0.6839357993791547,0.007984722311408059,0.7294370161944107,0.009472563826442791,-0.6839356268052436,0.007998020159254734,3.795952223996,0.22704691844957,0.00018690122999566,0.00018816078967805,4.1056090150514e-08,20926645.55158883,763.0125252500635,68.26359339427276,20926645.56549904,0.01499527983014559,68.26359339427276,0.0020890370661202,999.24015112926,0,6.28489114,19.6969697,19.6969697,0.964064094,-3.14137299,68.2603135,-180.000672,-3.14137299,3.14010649,0,1,0.523,0,-0.0246424382,-0.174,0.348,0,-0.271532193,-0.678830482,-0.675014263,0,0,0,-1,2.88695967,0,359.952362,-359.952362,360,0.04763792,0.000831281704,2.3109316e-05,-0.0246193289,0,0,0,-100,-39.5987813,-4.35616683,-4.09170954,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.621,0,-0,-0,-0,0,130,130,0.00018751128736750505,-9.06698442825566696e-07,20926645.8452389725,5.66206068647573879
0.6,6.345105195967826,6.286989447477194,-0.3553249946531143,5.386355330295503,-10.73457444947068,0.1184644077892082,6.349271057575749,6.287007155991225,-0.355006267612128,21.22746999,4126445.599,135.621549909,1532.27130293,135.296634556899,0.802460897003338,9.347809039038625,-3.533900763806143,2.855572741238505,1.575227432345226,12.79830305353463,1.449303600927776,-3.497309396787773,-0.052228901326601,-0.1408075667734356,-45.15279979353421,135.296634556899,0.802460897003338,9.347809039038625,0.9253574565413317,1526.257625025696,135.6176667891675,0.9921378686345328,0.2625202022470425,135.6176667891675,135.6176628818141,0.2625202005980647,-0.9926718307395515, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.2758156769,999.27581567585,2.010409205795799,4.381172303758793,359.9106386283123,0.9991146015862744,0.01756020739482251,0.03820406235926244,-0.001449700865891317,0.7334937238993607,0.01344201317919154,-0.6794678023680228,0.01139187548686175,0.7334934745112467,0.01345687744803485,-0.679467508143317,0.0114079216458939,3.9523540986767,0.33901611459211,0.00022407813662232,0.00022558823789943,9.5228159165212e-08,20926645.58108313,915.6318184582474,81.84204477062137,20926645.60111456,0.03478102497308555,81.84204477062137,0.0025068444793442,999.27581567585,0,6.28462566,19.6969697,19.6969697,0.964062843,-3.14116768,81.8381178,-179.988908,-3.14116768,3.14057728,0,1,0.523,0,-0.03508826,-0.174,0.348,0,-0.283926856,-0.70981714,-0.70720015,0,0,0,-1,3.62011692,0,359.93715,-359.93715,360,0.0628498528,0.00109672993,6.92941895e-05,-0.0350189658,0,0,0,-100,-45.3467488,-4.98847077,-5.9811426,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.5767,0,-0,-0,-0,0,130,130,0.000224677907224210012,-8.45051139159481126e-07,20926645.8871680573,6.34927105757574939
0.7,6.765438845257568,5.350239666014066,-0.3320266171891214,2.878221405415899,-7.646682697934399,0.371974540158596,6.769601235306326,5.350263793546593,-0.3316657426975398,21.11593885,4115584.651,135.265123079,1532.40758237,134.9342890912767,1.105779333111506,9.389803033275479,-3.709832646302183,3.194760618321504,-0.6678264616850242,12.6573770203852,1.921485476820228,-3.943185451411173,-0.0496050915414142,-0.1820044723993144,-45.06674572324071,134.9342890912767,1.105779333111506,9.389803033275479,2.204780333871854,1526.426179154595,135.2451738258697,2.282701493771761,0.4309897981256102,135.2451738258697,135.2451633495648,0.430989790592156,-2.283322109426633, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.43974309042,999.43974309531,2.6653827933828,4.965346589736641,359.899621532855,0.9987898567727708,0.02327385032320682,0.04328517738223326,-0.001882370300863794,0.7368567729290799,0.01778810060185266,-0.6756455288724097,0.01512610261245041,0.7368563866346092,0.01780534469319247,-0.6756450746572911,0.0151449089626654,3.9806797044556,0.46839268774451,0.00026115938442589,0.00026291938262466,1.8908960877974e-07,20926645.73771778,1068.265614788767,95.38555845761537,20926645.76498424,0.06906287503898056,95.38555845761537,0.0029246518925683,999.43974309531,3.2706509777296e-09,6.28443337,19.6969697,19.6969697,0.964057093,-3.14086861,95.3809972,-179.971772,-3.14086861,3.14106863,0,1,0.523,0,-0.0465197056,-0.174,0.348,0,-0.291632587,-0.729081468,-0.727594771,0,0,0,-1,4.32354808,0,359.926132,-359.926132,360,0.0738677598,0.00128899241,0.00012448559,-0.04639522,0,0,0,-100,-50.5477219,-5.56053261,-7.84385472,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.5365,0,-0,-0,-0,0,130,130,0.000261750051885364867,-7.42831290316875458e-07,20926646.0572088137,6.76960123530632618
0.8,6.956268835667478,4.731616729137538,-0.2823011944017007,0.8625957705252496,-4.541568593892949,0.6502905481726805,6.96042787621682,4.731647669045672,-0.2819040447000675,20.99525352,4103795.596,134.878602876,1532.58788803,134.5518405328847,1.43823400909489,9.272065886732953,-3.937696370445,3.430469013042935,-1.631237275613746,11.98081695471713,2.383010634517948,-4.333006452400664,-0.1062551537785409,-0.2250792318257893,-44.45184389297765,134.5518405328847,1.43823400909489,9.272065886732953,3.439487592542969,1526.641554294998,134.8308909711447,3.528556088663308,0.6462549930959682,134.8308909711447,134.8308724850754,0.6462549724337272,-3.529262399365203, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,999.73094278574,999.73094278559,3.351934083357707,5.470395495476017,359.8948718328422,0.9984317508044394,0.02925740033850498,0.04767284135670929,-0.002311646165050018,0.7397058900102879,0.02232263892093442,-0.6722900095428449,0.01905358613423821,0.7397053339318524,0.02234224857568735,-0.6722893581398527,0.01907516220779429,3.942062140161,0.61096644398147,0.00029813279393141,0.00030014196229469,3.3550811308857e-07,20926646.0205017,1220.918616757206,108.8896862805735,20926646.05611758,0.1225406058042608,108.8896862805735,0.0033424593057923,999.73094278559,3.2706509777294e-09,6.28435047,19.6969697,19.6969697,0.964046879,-3.14046729,108.884518,-179.948776,-3.14046729,3.14155285,0,1,0.523,0,-0.0585022861,-0.174,0.348,0,-0.295263043,-0.738157608,-0.73760373,0,0,0,-1,4.98628902,0,359.921382,-359.921382,360,0.0786178097,0.00137188078,0.000183854854,-0.0583184312,0,0,0,-100,-55.2537543,-6.07806164,-9.60732404,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.5,0,-0,-0,-0,0,130,130,0.000298715272118023659,-5.87450433611752783e-07,20926646.3543395139,6.96042787621682013
0.9,6.971486620785925,4.395411823978536,-0.203525016173128,-0.5860288695489465,-2.121702641087571,0.9542496862481583,6.975642357714806,4.395449605067731,-0.2030952178230492,20.8665095,4091178.153,134.465241615,1532.81090176,134.1449915511892,1.789713659843563,9.100514776609872,-4.197886475215251,3.568136622961953,-1.763643553349493,11.13237936115419,2.824968327859773,-4.674412530972542,-0.1804351642178389,-0.2688680374130002,-43.66990672722242,134.1449915511892,1.789713659843563,9.100514776609872,4.595505458626814,1526.902129360665,134.3801667970667,4.695729133066765,0.906698380679111,134.3801667970667,134.3801391554924,0.9066983358414643,-4.69652010859283, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,1000.1429423951,1000.1429423932,4.04993825485976,5.926797398251781,359.8994551134202,0.9980371351060333,0.03533308905198133,0.05163474159182328,-0.002702448543726659,0.7422281324295031,0.02689512184957832,-0.6692097344515678,0.02307342987443094,0.742227374886422,0.02691708162963648,-0.6692088515408213,0.02309778572004452,3.8810495780011,0.7626213724845,0.00033498767312763,0.0003372452128391,5.4709456436362e-07,20926646.42296189,1373.595432704618,122.3505233081485,20926646.46804231,0.1998202071831656,122.3505233081485,0.0037602667190164,1000.1429423932,3.2706509777292e-09,6.28443047,19.6969697,19.6969697,0.964032428,-3.13995948,122.3448,-179.919678,-3.13995948,-3.14120464,0,1,-0.523,0,-0.070684757,-0.174,0.348,0,-0.295746148,-0.739365371,-0.739499045,0,0,0,-1,5.60695501,0,359.925966,-359.925966,360,0.0740341915,0.00129189664,0.000240613474,-0.0704441436,0,0,0,-100,-59.511946,-6.54622899,-11.2427491,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.4667,0,-0,-0,-0,0,130,130,0.000335562571196063345,-3.66521755253846499e-07,20926646.7720882595,6.97564235771480678
